	trimmer_id	Dropout? Missing	Dropout Resolution
28	D4/112.1	['Dec2020dropout-Both', 'Dec2020dropout-HC']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', '? Already redone, non-IgG1/2a/2b/3?']
29	D4/133.1	['n/a-n/a']	[nan]
30	D4/135.1	['Dec2020dropout-LC']	['? Alternate subs also dropouts']
31	D4/135.2	['Dec2020dropout-Both']	['? Alternate subs also dropouts']
32	D4/135.3	['Dec2020dropout-Both']	['? Alternate subs also dropouts']
33	D4/152.1	['n/a-n/a']	[nan]
34	D4/152.3	['n/a-n/a']	[nan]
35	D4/152.4	['n/a-n/a']	[nan]
36	D4/154.1	['n/a-n/a']	[nan]
37	D4/154.2	['n/a-n/a']	[nan]
38	D4/154.3	['Dec2020dropout-HC']	['n/a, have good sequence for other subclone elsewhere']
39	D4/16.1	['n/a-n/a']	[nan]
40	D4/16.2	['n/a-n/a']	[nan]
41	D4/16.3	['Dec2020dropout-Both']	['? Alternate subs do not corroborate each other']
42	D4/176.1	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', '? Already redone']
43	D4/181.1	['Dec2020dropout-Both']	['Try again?']
44	D4/194.1	['n/a-n/a']	[nan]
45	D4/27.1	['n/a-n/a']	[nan]
46	D4/27.2	['n/a-n/a']	[nan]
47	D4/27.3	['n/a-n/a']	[nan]
48	D4/40.2	['n/a-n/a']	[nan]
49	D4/40.3	['n/a-n/a']	[nan]
50	D4/40.4	['n/a-n/a']	[nan]
51	D4/49.1	['n/a-n/a']	[nan]
52	D4/49.2	['n/a-n/a']	[nan]
53	D4/49.3	['n/a-n/a']	[nan]
54	D4/67.1	['n/a-n/a', 'n/a-n/a']	[nan, 'n/a, got seq after all']
55	D4/81.1	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', '? Alternate subs also dropouts']
56	D4/81.2	['Dec2020dropout-Both']	['? Alternate subs also dropouts']
57	D4/81.3	['Dec2020dropout-Both']	['? Alternate subs also dropouts']
58	D43/43.2	['n/a-n/a']	[nan]
59	EA7.2	['Dec2020dropout-HC', nan, 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan, 'Try again?']
60	EMPTY	['n/a-n/a']	[nan]
61	Empty for negative control	[nan, nan, nan, nan, nan, nan]	[nan, nan, nan, nan, nan, nan]
62	K13/31.2	['n/a-n/a', 'Dec2020dropout-Both', nan, nan]	[nan, 'n/a, have good sequence for same subclone elsewhere', nan, nan]
63	K13/31R	['n/a-n/a']	[nan]
64	K14/16.2	['n/a-n/a']	[nan]
65	K14/16.2.1	[nan]	[nan]
66	K14/16.2.2	[nan]	[nan]
67	K14/16.3	['Dec2020dropout-Both']	['n/a, have good sequence for other subclone elsewhere']
68	K14/16.4	['n/a-n/a']	[nan]
69	K14/16R	['n/a-n/a']	[nan]
70	K14/39.1	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
71	K17/24.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
72	K17/24.2	['n/a-n/a']	[nan]
73	K17/24.3	['n/a-n/a']	[nan]
74	K17/24.4	['n/a-n/a']	[nan]
75	K17/24.5	['n/a-n/a']	[nan]
